,Users,Date Created,Number of Likes,Source of Tweet,Tweet
63,John Lang,2022-10-25 18:02:42+00:00,0,Twitter Web App,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
64,Michael S ✝️ (he/him),2022-10-25 18:02:39+00:00,0,Twitter Web App,RT @paulbayes: The Prime Minister has spoken of unity and accountability. But this Cabinet does not draw from the breadth of the Conservati…
65,Robin Sturges,2022-10-25 18:02:39+00:00,0,Twitter for Android,"RT @dem_cath: Rishi Rich you haven't earnt our trust , you have put all the dregs of the Conservative party in Cabinet.  It's over. https:/…"
66,Tufton Street Taliban,2022-10-25 18:02:38+00:00,0,Twitter for Android,"@Mike_Fabricant Your useless policies caused a 10,000% increase in the number of people reaching the UK in small bo… https://t.co/KO3F8F6stV"
67,Tim,2022-10-25 18:02:38+00:00,0,Twitter for iPhone,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
68,Viewzoner,2022-10-25 18:02:37+00:00,0,Twitter for Android,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
69,Daily Referendum,2022-10-25 18:02:33+00:00,0,Twitter for Android,"RT @PatrickChristys: Interesting that famous lefty footballers are willing to take millions from Qatar, and even defend the country on huma…"
70,catherine taylor,2022-10-25 18:02:33+00:00,0,Twitter for iPhone,"RT @GOV2UK: Jacob Rees-Mogg is furious that you keep retweeting him saying a new Prime Minister requires a General Election.

Please stop r…"
71,Maxine 🌹 🇺🇦 🇬🇧 🌻 🕊,2022-10-25 18:02:33+00:00,0,Twitter for Android,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
72,Can I hear a wahoo?,2022-10-25 18:02:31+00:00,0,Twitter for Android,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
73,Yaroslav Tikhonov,2022-10-25 18:02:30+00:00,0,Twitter Web App,"RT @Telegraph: 🔵 Rishi Sunak, the new Tory leader, has arrived at Conservative Party headquarters in central London.

He was welcomed by ch…"
74,Unison Member,2022-10-25 18:02:29+00:00,0,Twitter for iPad,"RT @BladeoftheS: 55 Tufton Street own Rishi Sunak, just like they owned Johnson and Liz Truss.

Their claws will not leave the current Cons…"
75,sandra,2022-10-25 18:02:26+00:00,0,Twitter for iPad,"RT @AndreaLW10: @MarkVipond @TelePolitics Your loyalty is so admirable Mark, they don’t deserve you.. they far from represent what I expect…"
76,sandra rutherford,2022-10-25 18:02:23+00:00,0,Twitter for iPhone,RT @AndrewTPearson: @AndrewBowie_MP There is no such party as ‘The Scottish Conservative and Unionist party’. You are wholly funded and con…
77,Alan Hasell,2022-10-25 18:02:17+00:00,0,Twitter for Android,"RT @alfieeurope: The Hedge Fund Manager Sunak proves within hours that with his reappoint of Braverman to Home Secretary. 
That is all abou…"
78,Mick,2022-10-25 18:02:13+00:00,0,Twitter Web App,"RT @PatrickChristys: Interesting that famous lefty footballers are willing to take millions from Qatar, and even defend the country on huma…"
79,Simon Lewis 🇺🇦 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺🔶#FBPA/PR/PE,2022-10-25 18:02:12+00:00,0,Twitter for Android,"RT @LabourForGov: I cannot understand how anyone of a One Nation Conservative persuasion could support the current Conservative Party.

It…"
80,KieronJ 🏳️‍🌈🏳️‍⚧️🇵🇸,2022-10-25 18:02:12+00:00,0,Twitter for Android,RT @PoliticsJOE_UK: 🤑 Rishi Sunak A.K.A Sir Tax-a-Lot ft. the Conservative Party - I Like Big Cuts 🤑 https://t.co/isaOFbPmCk
81,Captain Tango,2022-10-25 18:02:11+00:00,0,Twitter for iPhone,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
82,ʀɪᴄᴋ ꜰᴀɴᴅᴀɴɢᴏ,2022-10-25 18:02:10+00:00,0,Twitter for Android,@10DowningStreet @SuellaBraverman @ukhomeoffice The #EuropeanResearchGroup (#ERG). A party operating within the… https://t.co/xRKJWVs2pK
83,Boudica Queen of the Iceni or Annispice even !,2022-10-25 18:02:09+00:00,0,Twitter Web App,"RT @deGourlay: The idea that this clown has any ""Conservative source"" is laughable. He is universally despised across the party."
84,Kaiju! Kaiju! Kaiju!,2022-10-25 18:02:09+00:00,0,Twitter Web App,"RT @Number10cat: Rishi Sunak is forming a government featuring all parts of the Conservative Party: the right wing, the hard right wing and…"
85,D3NV3R🌹🚀,2022-10-25 18:02:09+00:00,0,Twitter for iPhone,"And with that we have proven that Sunak isn’t going to change the Conservative party one bit. 

To quote doctor who… https://t.co/T0225IIARf"
86,Formidable Warrior 🇺🇸,2022-10-25 18:02:09+00:00,0,Twitter for iPhone,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
87,Linda Fuller,2022-10-25 18:02:08+00:00,0,Twitter Web App,"RT @clsilvers: No--there was about-what, a 30 minutes grace period where we could all be happy about the diversity part of it--which is ver…"
88,YourNHSNeedsYou,2022-10-25 18:02:07+00:00,0,Twitter for Android,RT @PoliticsJOE_UK: 🤑 Rishi Sunak A.K.A Sir Tax-a-Lot ft. the Conservative Party - I Like Big Cuts 🤑 https://t.co/isaOFbPmCk
89,J Embury,2022-10-25 18:02:07+00:00,1,Twitter for iPhone,@meknowhu @AprilLigeia It all goes back to my belief that you DO NOT cheer for political parties like football team… https://t.co/nb0tIn5iiJ
90,rudadu,2022-10-25 18:02:06+00:00,0,Twitter for iPhone,RT @madmac19: @AndrewBowie_MP Which political party are they trying stop existing Andrew. You work for Conservative party there is no Scott…
91,Gerard,2022-10-25 18:02:06+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
92,Cath #Viva La Resistenza 🇺🇦,2022-10-25 18:02:01+00:00,2,Twitter for Android,"Rishi Rich you haven't earnt our trust , you have put all the dregs of the Conservative party in Cabinet.  It's ove… https://t.co/HXUh4nupkR"
93,Elspeth Cheshire 🇪🇺,2022-10-25 18:02:00+00:00,0,Twitter for Android,"RT @GOV2UK: Jacob Rees-Mogg is furious that you keep retweeting him saying a new Prime Minister requires a General Election.

Please stop r…"
94,Louisa Gummer 🕷💙🇪🇺🇺🇦,2022-10-25 18:01:58+00:00,0,Twitter for iPhone,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
95,Mary Manning,2022-10-25 18:01:57+00:00,0,Twitter Web App,RT @PoliticsJOE_UK: 🤑 Rishi Sunak A.K.A Sir Tax-a-Lot ft. the Conservative Party - I Like Big Cuts 🤑 https://t.co/isaOFbPmCk
96,Paulio,2022-10-25 18:01:55+00:00,0,Twitter for Android,"Now we've seen the very worst that the Conservative Party have to offer, even I would offer jobs to the likes of Hu… https://t.co/hNQNhBekUm"
97,Michael Mello,2022-10-25 18:01:51+00:00,0,Twitter for iPhone,"RT @marklevinshow: 1.If we lose this Senate seat in New Hampshire, old RINO McConnell is to blame.He pulled millions in campaign funds from…"
98,beansntoast,2022-10-25 18:01:48+00:00,0,Twitter for Android,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
99,David Ross,2022-10-25 18:01:47+00:00,0,Twitter Web App,"RT @wesstreeting: The talent pool in the Conservative Party is so shallow that they’re recycling Health Secretaries.

12 years of Conservat…"
