Users,Date Created,Number of Likes,Source of Tweet,Tweet
Tracy Gallagher,2022-10-25 18:00:35+00:00,0,Twitter for iPhone,RT @freddiemac1: Rishi Sunak is going to phone crookit Nicola tonight. Presumbly to ask her what she has done with the billions of £s of co…
Tyrone Asaurus,2022-10-25 18:00:35+00:00,0,Twitter Web App,RT @jeremycorbyn: Rishi Sunak's cabinet appointments are a clear signal of the pro-austerity and anti-migrant machine he intends to operate…
Jim T,2022-10-25 18:00:35+00:00,0,Twitter for iPhone,"RT @TalkTV: Mike reacts to Joe Biden's mispronunciation of Rishi Sunak as 'Rashi Sanook' in a speech marking Diwali. 

@iromg https://t.co/…"
Donna Hill,2022-10-25 18:00:35+00:00,0,Twitter for Android,RT @PeterStefanovi2: I’ve broken down the ABSOLUTE BOLLOCKS new Prime Minister Rishi Sunak just fed the country in his first Downing Street…
Aquarius Crystal Crafts,2022-10-25 18:00:35+00:00,0,Twitter for Android,RT @BeckettUnite: Rishi Sunak met the heads of American Healthcare corporations in California in December ‘21. The official Treasury minute…
Akhil 🇮🇳,2022-10-25 18:00:35+00:00,0,Twitter Web App,RT @kushal_mehra: Most lefties don't get why average Indians are happy for Rishi Sunak. They know Rishi won't be pro India. Heck they want…
Ares,2022-10-25 18:00:35+00:00,0,Twitter for Android,"RT @ajplus: BREAKING: Rishi Sunak is now set to become UK's next prime minister, after the other candidate withdrew.

The ex-finance minist…"
Auntie Shirley #GEnow 🇪🇺 🏴󠁧󠁢󠁳󠁣󠁴󠁿😷🇺🇦,2022-10-25 18:00:34+00:00,0,Twitter for iPad,RT @PoliNATlON: 🚨|BREAKING: Larry the Cat glues himself to the floor in protest to Rishi Sunak https://t.co/OYZJUsGgPV
Mister Bluesky,2022-10-25 18:00:34+00:00,0,Twitter for Android,"RT @CarolineLucas: Not a single mention of climate in Rishi Sunak's first speech as PM. It's not like we're facing a climate emergency, a m…"
Le Journal de Québec,2022-10-25 18:00:34+00:00,0,Twitter Web App,L'immense fortune de Rishi Sunak fait grincer des dents https://t.co/6IDMi1avNh
Riley Collins,2022-10-25 18:00:33+00:00,0,Twitter Web App,RT @BBCAlagiah: I’m in the chemo clinic watching Rishi Sunak become the first person of colour to be PM. For a 1st generation migrant like…
Elaine Callander,2022-10-25 18:00:33+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
BringBackBoris,2022-10-25 18:00:33+00:00,0,Twitter for iPhone,"RT @CarolineLucas: Rishi Sunak at lunchtime: ""This government will have integrity, professionalism and accountability at every level""

Rish…"
Graffiti,2022-10-25 18:00:33+00:00,0,Twitter Web App,RT @Andybettridge1: Nice to see the new PM Rishi Sunak already showing his green credentials...recycling former failed Tory Ministers into…
chanda shah,2022-10-25 18:00:33+00:00,0,Twitter for Android,"RT @GabbbarSingh: Two Gujaranwala boys in their 40s who married rich Indian girls from an IT city, and performed really well globally. 

Sh…"
Roche Francis,2022-10-25 18:00:33+00:00,0,Twitter for iPhone,RT @Arthy7777: Le nouveau Premier ministre britannique Rishi Sunak et sa femme Akshata Murty sont plus riches que les membres de la famille…
John Clerkin,2022-10-25 18:00:33+00:00,0,Twitter Web App,"RT @tonypatt2000: Rishi Sunak is going to be crap, isn't he?"
arun,2022-10-25 18:00:33+00:00,0,Twitter Web App,"Narayan Murthy से कैसे जुड़ा Rishi Sunak का रिश्ता, Akshata से शादी का क... https://t.co/ajbpHwkmjD via @YouTube 
#RishiSunak #BritainPM"
half of MVM,2022-10-25 18:00:32+00:00,0,Twitter for iPhone,"RT @Lowkey0nline: Joe Biden congratulates new British Prime Minister Rishi Sunak by calling him ""Rashid Sanook.""
https://t.co/x4WQuXZEXp"
Ahmad Nawaz Wattoo,2022-10-25 18:00:32+00:00,0,Twitter for Android,"RT @jeremycorbyn: In coronating Rishi Sunak, Tory MPs have decided that a former hedge fund manager is a safe pair of hands. 

The question…"
